Start: Fri Nov 22 23:54:15 CST 2019
Threads: 16 | Map Partitions: 256 | "Elapsed time: 9382.3739 msecs"
Threads: 20 | Map Partitions: 256 | "Elapsed time: 8754.7072 msecs"
Threads: 32 | Map Partitions: 256 | "Elapsed time: 8714.0787 msecs"
Threads: 64 | Map Partitions: 256 | "Elapsed time: 9224.0834 msecs"
Threads:  1 | Map Partitions: 512 | "Elapsed time: 63468.1704 msecs"
Threads:  2 | Map Partitions: 512 | "Elapsed time: 28934.2652 msecs"
Threads:  4 | Map Partitions: 512 | "Elapsed time: 18609.8317 msecs"
Threads:  8 | Map Partitions: 512 | "Elapsed time: 12396.2177 msecs"
Threads: 16 | Map Partitions: 512 | "Elapsed time: 10557.8922 msecs"
Threads: 20 | Map Partitions: 512 | "Elapsed time: 10200.6215 msecs"
Threads: 32 | Map Partitions: 512 | "Elapsed time: 10046.2925 msecs"
Threads: 64 | Map Partitions: 512 | "Elapsed time: 10276.3793 msecs"
Threads:  1 | Map Partitions: 1024 | "Elapsed time: 69811.8413 msecs"
Threads:  2 | Map Partitions: 1024 | "Elapsed time: 35143.0147 msecs"
Threads:  4 | Map Partitions: 1024 | "Elapsed time: 22632.6796 msecs"
Threads:  8 | Map Partitions: 1024 | "Elapsed time: 15168.4662 msecs"
Threads: 16 | Map Partitions: 1024 | "Elapsed time: 12625.3202 msecs"
Threads: 20 | Map Partitions: 1024 | "Elapsed time: 12036.4907 msecs"
Threads: 32 | Map Partitions: 1024 | "Elapsed time: 11904.1375 msecs"
Threads: 64 | Map Partitions: 1024 | "Elapsed time: 12457.626 msecs"
Threads:  1 | Map Partitions: 2048 | "Elapsed time: 81945.172 msecs"
Threads:  2 | Map Partitions: 2048 | "Elapsed time: 45396.3752 msecs"
Threads:  4 | Map Partitions: 2048 | "Elapsed time: 30616.5205 msecs"
Threads:  8 | Map Partitions: 2048 | "Elapsed time: 20684.2454 msecs"
Threads: 16 | Map Partitions: 2048 | "Elapsed time: 16576.8542 msecs"
Threads: 20 | Map Partitions: 2048 | "Elapsed time: 15714.5762 msecs"
Threads: 32 | Map Partitions: 2048 | "Elapsed time: 15539.6366 msecs"
Threads: 64 | Map Partitions: 2048 | "Elapsed time: 15837.4628 msecs"
Threads:  1 | Map Partitions: 4096 | "Elapsed time: 98517.7121 msecs"
Threads:  2 | Map Partitions: 4096 | "Elapsed time: 60519.9011 msecs"
Threads:  4 | Map Partitions: 4096 | "Elapsed time: 39474.1804 msecs"
Threads:  8 | Map Partitions: 4096 | "Elapsed time: 27413.3709 msecs"
Threads: 16 | Map Partitions: 4096 | "Elapsed time: 21883.2226 msecs"
Threads: 20 | Map Partitions: 4096 | "Elapsed time: 20488.2274 msecs"
Threads: 32 | Map Partitions: 4096 | "Elapsed time: 20646.9641 msecs"
